current_shirt_number,firstname,lastname,int_goals,int_caps,main_position,other_position,current_market_value,highest_market_value,highest_market_value_on,date_of_birth,place_of_birth,country_of_birth,height,citizenship,dominant_foot,current_club,joined_on,contract_expiring,last_extension,transfer_history,valuation
#21,Ben,Chilwell,1,17,Left-Back,,€38.00m,€50.00m,"Dec 10, 2019","Dec 21, 1996",Milton Keynes,England,180,England,left,Chelsea FC,"Aug 26, 2020","Jun 30, 2025",unknown,"{'season': ['20/21', '15/16', '15/16', '15/16', '14/15'], 'transfer_date': ['Aug 26, 2020', 'Jan 3, 2016', 'Nov 19, 2015', 'Jul 1, 2015', 'Jul 1, 2014'], 'leaving_club': ['Leicester', 'Huddersfield', 'Leicester', 'Leicester U21', 'Leicester U18'], 'joining_club': ['Chelsea', 'Leicester', 'Huddersfield', 'Leicester', 'Leicester U21'], 'market_value': ['€40.00m', '-', '-', '-', '-'], 'fee': ['€50.20m', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC'], 'market_value': ['Є1.00m', 'Є2.50m', 'Є2.50m', 'Є2.50m', 'Є3.00m', 'Є8.00m', 'Є15.00m', 'Є25.00m', 'Є35.00m', 'Є50.00m', 'Є40.00m', 'Є50.00m', 'Є50.00m', 'Є45.00m', 'Є38.00m', 'Є38.00m', 'Є38.00m'], 'age': ['19', '19', '20', '20', '21', '21', '21', '21', '22', '22', '23', '23', '24', '24', '24', '25', '25'], 'date': ['Feb 24', 'Aug 1', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Oct 17', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'May 28', 'Oct 5', 'Dec 23', 'Jun 15'], 'year': ['2016', '2016', '2017', '2017', '2018', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2021', '2022']}"
#32,Marc,Cucurella,0,1,Left-Back,,€55.00m,€55.00m,"Sep 15, 2022","Jul 22, 1998",Alella,Spain,173,Spain,left,Chelsea FC,"Aug 5, 2022","Jun 30, 2028",unknown,"{'season': ['22/23', '21/22', '20/21', '19/20', '19/20', '19/20', '19/20', '18/19', '18/19', '18/19', '17/18', '15/16', '14/15', '12/13'], 'transfer_date': ['Aug 5, 2022', 'Aug 31, 2021', 'Jul 1, 2020', 'Jun 30, 2020', 'Jul 18, 2019', 'Jul 16, 2019', 'Jul 1, 2019', 'Jun 30, 2019', 'Aug 31, 2018', 'Jul 1, 2018', 'Jul 1, 2017', 'Jul 1, 2015', 'Jul 1, 2014', 'Jul 1, 2012'], 'leaving_club': ['Brighton', 'Getafe', 'Barcelona', 'Getafe', 'Barcelona', 'SD Eibar', 'Barcelona', 'SD Eibar', 'Barcelona', 'Barcelona B', 'Barça U19', 'Barça U18', 'Barça U16', 'Espanyol Youth'], 'joining_club': ['Chelsea', 'Brighton', 'Getafe', 'Barcelona', 'Getafe', 'Barcelona', 'SD Eibar', 'Barcelona', 'SD Eibar', 'Barcelona', 'Barcelona B', 'Barça U19', 'Barça U18', 'Barça U16'], 'market_value': ['€28.00m', '€20.00m', '€18.00m', '€18.00m', '€10.00m', '€10.00m', '€10.00m', '€10.00m', '€5.00m', '€5.00m', '€700Th.', '-', '-', '-'], 'fee': ['€65.30m', '€18.00m', '€11.80m', 'End of loan', 'loan transfer', '€4.00m', '€2.00m', 'End of loan', 'loan transfer', '-', '-', '-', '-', 'free transfer']}","{'club': ['FC Barcelona U19', 'FC Barcelona B', 'FC Barcelona B', 'SD Eibar', 'SD Eibar', 'SD Eibar', 'Getafe CF', 'Getafe CF', 'Getafe CF', 'Getafe CF', 'Getafe CF', 'Getafe CF', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Chelsea FC'], 'market_value': ['Є700Th.', 'Є2.50m', 'Є5.00m', 'Є7.50m', 'Є10.00m', 'Є10.00m', 'Є15.00m', 'Є20.00m', 'Є18.00m', 'Є20.00m', 'Є20.00m', 'Є20.00m', 'Є20.00m', 'Є28.00m', 'Є55.00m'], 'age': ['18', '19', '19', '20', '20', '20', '21', '21', '21', '22', '22', '22', '23', '23', '24'], 'date': ['Jun 30', 'Jan 1', 'May 30', 'Dec 21', 'Feb 28', 'Jun 11', 'Dec 20', 'Mar 5', 'Apr 8', 'Oct 8', 'Jan 5', 'Jun 10', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#6,Thiago,Silva,7,108,Centre-Back,,€2.50m,€40.00m,"Jan 7, 2013","Sep 22, 1984",Rio de Janeiro,Brazil,181,"Brazil,France",right,Chelsea FC,"Aug 28, 2020","Jun 30, 2023","Jan 3, 2022","{'season': ['20/21', '12/13', '08/09', '06/07', '06/07', '05/06', '05/06', '04/05', '03/04', '02/03'], 'transfer_date': ['Aug 28, 2020', 'Jul 14, 2012', 'Jan 1, 2009', 'Jan 1, 2007', 'Dec 31, 2006', 'Jan 1, 2006', 'Jul 1, 2005', 'Jan 1, 2005', 'Jan 1, 2004', 'Nov 1, 2002'], 'leaving_club': ['Paris SG', 'AC Milan', 'Fluminense', 'Dinamo Moscow', 'Fluminense', 'Dinamo Moscow', 'FC Porto', 'Juventude', 'RS Futebol', 'Fluminense U20'], 'joining_club': ['Chelsea', 'Paris SG', 'AC Milan', 'Fluminense', 'Dinamo Moscow', 'Fluminense', 'Dinamo Moscow', 'FC Porto', 'Juventude', 'RS Futebol'], 'market_value': ['€4.80m', '€38.00m', '€7.50m', '€3.50m', '€3.50m', '€3.50m', '€3.50m', '-', '-', '-'], 'fee': ['free transfer', '€42.00m', '€10.00m', '€2.00m', 'End of loan', 'loan transfer', '€3.50m', '€2.50m', '?', 'free transfer']}","{'club': ['FC Porto', 'Fluminense Football Club', 'Fluminense Football Club', 'Fluminense Football Club', 'Fluminense Football Club', 'Fluminense Football Club', 'AC Milan', 'AC Milan', 'AC Milan', 'AC Milan', 'AC Milan', 'AC Milan', 'AC Milan', 'AC Milan', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Paris Saintx2DGermain', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC'], 'market_value': ['Є3.50m', 'Є1.80m', 'Є3.00m', 'Є5.00m', 'Є6.00m', 'Є7.50m', 'Є9.00m', 'Є14.50m', 'Є15.50m', 'Є18.50m', 'Є23.00m', 'Є30.00m', 'Є32.00m', 'Є38.00m', 'Є40.00m', 'Є40.00m', 'Є40.00m', 'Є40.00m', 'Є35.00m', 'Є30.00m', 'Є25.00m', 'Є20.00m', 'Є16.00m', 'Є16.00m', 'Є12.00m', 'Є10.00m', 'Є10.00m', 'Є10.00m', 'Є10.00m', 'Є6.00m', 'Є6.00m', 'Є4.80m', 'Є4.50m', 'Є3.50m', 'Є3.00m', 'Є2.50m', 'Є2.50m'], 'age': ['20', '23', '23', '23', '23', '24', '24', '25', '25', '25', '26', '26', '27', '27', '28', '28', '29', '29', '30', '30', '30', '31', '31', '32', '32', '33', '33', '34', '34', '35', '35', '35', '36', '36', '36', '37', '37'], 'date': ['Feb 4', 'Oct 4', 'Feb 4', 'Apr 26', 'Jul 15', 'Dec 12', 'Feb 6', 'Jan 27', 'May 9', 'Aug 2', 'Jan 20', 'Jun 21', 'Jan 12', 'Jun 8', 'Jan 7', 'May 30', 'Jan 14', 'Aug 1', 'Jan 14', 'Jun 6', 'Sep 6', 'Feb 4', 'Jul 13', 'Jan 16', 'Jun 1', 'Jan 24', 'Jun 4', 'Dec 17', 'Jun 3', 'Sep 27', 'Dec 19', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2005', '2007', '2008', '2008', '2008', '2008', '2009', '2010', '2010', '2010', '2011', '2011', '2012', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#14,Trevoh,Chalobah,0,3,Centre-Back,,€20.00m,€20.00m,"Mar 29, 2022","Jul 5, 1999",Freetown,Sierra Leone,190,"England,Sierra Leone",right,Chelsea FC,"Jul 1, 2021","Jun 30, 2026","Nov 4, 2021","{'season': ['21/22', '20/21', '20/21', '19/20', '19/20', '18/19', '18/19', '16/17', '15/16'], 'transfer_date': ['Jul 1, 2021', 'Jun 30, 2021', 'Aug 18, 2020', 'Jul 31, 2020', 'Aug 8, 2019', 'May 31, 2019', 'Jul 1, 2018', 'Jul 1, 2016', 'Jul 1, 2015'], 'leaving_club': ['Chelsea U23', 'FC Lorient', 'Chelsea U23', 'Huddersfield', 'Chelsea U23', 'Ipswich', 'Chelsea U23', 'Chelsea U18', 'Chelsea Youth'], 'joining_club': ['Chelsea', 'Chelsea U23', 'FC Lorient', 'Chelsea U23', 'Huddersfield', 'Chelsea U23', 'Ipswich', 'Chelsea U23', 'Chelsea U18'], 'market_value': ['€3.50m', '€3.50m', '€2.70m', '€2.70m', '€3.00m', '€1.00m', '-', '-', '-'], 'fee': ['-', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Ipswich Town', 'Chelsea FC U23', 'Huddersfield Town', 'Huddersfield Town', 'FC Lorient', 'FC Lorient', 'FC Lorient', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC'], 'market_value': ['Є1.00m', 'Є3.00m', 'Є3.00m', 'Є2.70m', 'Є2.70m', 'Є3.00m', 'Є3.50m', 'Є10.00m', 'Є18.00m', 'Є20.00m', 'Є20.00m'], 'age': ['19', '19', '20', '20', '21', '21', '21', '22', '22', '22', '22'], 'date': ['Sep 24', 'Jun 13', 'Feb 27', 'Apr 8', 'Oct 15', 'Apr 9', 'Jun 4', 'Oct 5', 'Dec 23', 'Mar 29', 'Jun 15'], 'year': ['2018', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022', '2022']}"
#26,Kalidou,Koulibaly,0,62,Centre-Back,,€35.00m,€75.00m,"Jun 6, 2019","Jun 20, 1991",Saint-Dié-des-Vosges,France,186,"Senegal,France",right,Chelsea FC,"Jul 16, 2022","Jun 30, 2026",unknown,"{'season': ['22/23', '14/15', '12/13', '10/11', '09/10', '06/07'], 'transfer_date': ['Jul 16, 2022', 'Jul 1, 2014', 'Jul 1, 2012', 'Jul 1, 2010', 'Jul 1, 2009', 'Jul 1, 2006'], 'leaving_club': ['SSC Napoli', 'KRC Genk', 'FC Metz', 'FC Metz B', 'SR Saint-Dié', 'Metz Youth'], 'joining_club': ['Chelsea', 'SSC Napoli', 'KRC Genk', 'FC Metz', 'FC Metz B', 'SR Saint-Dié'], 'market_value': ['€35.00m', '€6.50m', '€700Th.', '-', '-', '-'], 'fee': ['€38.00m', '€7.75m', '€1.30m', '-', 'free transfer', 'free transfer']}","{'club': ['FC Metz', 'FC Metz', 'FC Metz', 'FC Metz', 'FC Metz', 'FC Metz', 'KRC Genk', 'KRC Genk', 'KRC Genk', 'KRC Genk', 'KRC Genk', 'KRC Genk', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli', 'SSC Napoli'], 'market_value': ['Є50Th.', 'Є150Th.', 'Є400Th.', 'Є750Th.', 'Є750Th.', 'Є700Th.', 'Є1.20m', 'Є2.20m', 'Є3.00m', 'Є3.00m', 'Є3.20m', 'Є6.50m', 'Є9.00m', 'Є9.00m', 'Є12.00m', 'Є16.00m', 'Є20.00m', 'Є23.00m', 'Є28.00m', 'Є30.00m', 'Є30.00m', 'Є40.00m', 'Є50.00m', 'Є60.00m', 'Є70.00m', 'Є75.00m', 'Є75.00m', 'Є70.00m', 'Є56.00m', 'Є65.00m', 'Є60.00m', 'Є50.00m', 'Є48.00m', 'Є45.00m', 'Є35.00m'], 'age': ['19', '19', '19', '20', '20', '20', '21', '21', '21', '22', '22', '23', '23', '24', '24', '24', '24', '25', '25', '25', '25', '26', '26', '26', '27', '27', '28', '28', '28', '29', '29', '29', '29', '30', '30'], 'date': ['Aug 1', 'Oct 24', 'May 30', 'Jul 22', 'Dec 25', 'Jun 1', 'Sep 18', 'Oct 16', 'Jan 9', 'Jun 25', 'Feb 10', 'Jun 28', 'Jan 7', 'Jul 1', 'Nov 5', 'Jan 4', 'Apr 1', 'Jul 15', 'Oct 14', 'Jan 2', 'Jun 8', 'Dec 29', 'Mar 24', 'Jun 7', 'Dec 20', 'Jun 6', 'Dec 12', 'Mar 3', 'Apr 8', 'Aug 25', 'Dec 29', 'Mar 23', 'Jun 3', 'Dec 28', 'Jun 7'], 'year': ['2010', '2010', '2011', '2011', '2011', '2012', '2012', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2016', '2016', '2017', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#33,Wesley,Fofana,0,5,Centre-Back,,€65.00m,€65.00m,"Sep 15, 2022","Dec 17, 2000",Marseille,France,186,"France,Cote d'Ivoire",right,Chelsea FC,"Aug 31, 2022","Jun 30, 2029",unknown,"{'season': ['22/23', '20/21', '19/20', '18/19'], 'transfer_date': ['Aug 31, 2022', 'Oct 2, 2020', 'Jul 1, 2019', 'Jul 1, 2018'], 'leaving_club': ['Leicester', 'Saint-Étienne', 'Saint-Étienne B', 'St-Étienne U19'], 'joining_club': ['Chelsea', 'Leicester', 'Saint-Étienne', 'Saint-Étienne B'], 'market_value': ['€40.00m', '€10.00m', '-', '-'], 'fee': ['€80.40m', '€35.00m', '-', '-']}","{'club': ['AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Chelsea FC'], 'market_value': ['Є4.00m', 'Є6.00m', 'Є5.40m', 'Є10.00m', 'Є22.50m', 'Є27.00m', 'Є30.00m', 'Є40.00m', 'Є40.00m', 'Є40.00m', 'Є65.00m'], 'age': ['19', '19', '19', '19', '19', '20', '20', '20', '21', '21', '21'], 'date': ['Dec 19', 'Mar 13', 'Apr 8', 'Aug 3', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2019', '2020', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#13,Marcus,Bettinelli,0,0,Goalkeeper,,€2.00m,€4.00m,"Oct 17, 2018","May 24, 1992",London,England,193,"England,Italy",right,Chelsea FC,"Jul 28, 2021","Jun 30, 2023",unknown,"{'season': ['21/22', '20/21', '20/21', '13/14', '13/14', '12/13', '12/13', '12/13', '10/11'], 'transfer_date': ['Jul 28, 2021', 'May 31, 2021', 'Sep 10, 2020', 'May 31, 2014', 'Aug 28, 2013', 'Mar 23, 2013', 'Aug 20, 2012', 'Jul 1, 2012', 'Jan 1, 2011'], 'leaving_club': ['Fulham', 'Middlesbrough', 'Fulham', 'Accrington', 'Fulham', 'Dartford', 'Fulham', 'Fulham FC U21', 'Fulham U18'], 'joining_club': ['Chelsea', 'Fulham', 'Middlesbrough', 'Fulham', 'Accrington', 'Fulham', 'Dartford', 'Fulham', 'Fulham Res.'], 'market_value': ['€2.50m', '€2.50m', '€1.60m', '-', '-', '-', '-', '-', '-'], 'fee': ['free transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Middlesbrough FC', 'Middlesbrough FC', 'Fulham FC', 'Chelsea FC', 'Chelsea FC'], 'market_value': ['Є150Th.', 'Є250Th.', 'Є1.50m', 'Є1.50m', 'Є1.50m', 'Є1.50m', 'Є1.50m', 'Є2.00m', 'Є3.00m', 'Є4.00m', 'Є4.00m', 'Є4.00m', 'Є3.50m', 'Є2.00m', 'Є1.60m', 'Є2.00m', 'Є2.50m', 'Є2.50m', 'Є2.50m', 'Є2.00m'], 'age': ['22', '22', '23', '23', '24', '24', '25', '25', '26', '26', '26', '27', '27', '27', '27', '28', '28', '29', '29', '30'], 'date': ['Aug 19', 'Feb 24', 'Sep 24', 'Apr 20', 'Sep 1', 'Feb 27', 'Sep 18', 'Feb 27', 'Aug 13', 'Oct 17', 'Dec 19', 'Jun 13', 'Oct 17', 'Feb 27', 'Apr 8', 'Oct 15', 'Mar 10', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#1,Kepa,Arrizabalaga,0,11,Goalkeeper,,€10.00m,€60.00m,"Jun 13, 2019","Oct 3, 1994",Ondarroa,Spain,186,Spain,right,Chelsea FC,"Aug 8, 2018","Jun 30, 2025",unknown,"{'season': ['18/19', '15/16', '15/16', '14/15', '14/15', '14/15', '12/13', '11/12'], 'transfer_date': ['Aug 8, 2018', 'Jun 30, 2016', 'Jul 20, 2015', 'Jun 30, 2015', 'Jan 5, 2015', 'Jul 1, 2014', 'Jan 31, 2013', 'Jan 1, 2012'], 'leaving_club': ['Athletic', 'Real Valladolid', 'Athletic', 'Ponferradina', 'Athletic', 'Bilbao Athletic', 'CD Basconia', 'Bilbao U19'], 'joining_club': ['Chelsea', 'Athletic', 'Real Valladolid', 'Athletic', 'Ponferradina', 'Athletic', 'Bilbao Athletic', 'CD Basconia'], 'market_value': ['€20.00m', '€1.50m', '€1.00m', '€1.00m', '€1.00m', '€500Th.', '€500Th.', '-'], 'fee': ['€80.00m', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', '-', '-']}","{'club': ['CD Basconia', 'Athletic Bilbao', 'SD Ponferradina', 'Athletic Bilbao', 'Real Valladolid CF', 'Athletic Bilbao', 'Athletic Bilbao', 'Athletic Bilbao', 'Athletic Bilbao', 'Athletic Bilbao', 'Athletic Bilbao', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC'], 'market_value': ['Є500Th.', 'Є1.00m', 'Є1.00m', 'Є1.00m', 'Є1.50m', 'Є1.50m', 'Є3.00m', 'Є5.00m', 'Є8.00m', 'Є20.00m', 'Є20.00m', 'Є40.00m', 'Є50.00m', 'Є55.00m', 'Є60.00m', 'Є60.00m', 'Є40.00m', 'Є32.00m', 'Є28.00m', 'Є18.00m', 'Є15.00m', 'Є13.00m', 'Є13.00m', 'Є10.00m', 'Є10.00m'], 'age': ['17', '19', '20', '20', '21', '21', '22', '22', '22', '23', '23', '23', '24', '24', '24', '25', '25', '25', '25', '26', '26', '26', '26', '27', '27'], 'date': ['Aug 25', 'Jul 20', 'Jan 8', 'Jul 1', 'Feb 22', 'Jul 15', 'Jan 24', 'Mar 29', 'Jun 5', 'Jan 1', 'May 30', 'Aug 13', 'Oct 17', 'Dec 19', 'Jun 13', 'Dec 10', 'Mar 9', 'Apr 8', 'Jul 30', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2012', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2017', '2018', '2018', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#16,Edouard,Mendy,0,25,Goalkeeper,,€32.00m,€32.00m,"Dec 23, 2021","Mar 1, 1992",Montivilliers,France,194,"Senegal,Guinea-Bissau",right,Chelsea FC,"Sep 24, 2020","Jun 30, 2025",unknown,"{'season': ['20/21', '19/20', '16/17', '15/16', '14/15', '11/12'], 'transfer_date': ['Sep 24, 2020', 'Aug 6, 2019', 'Jul 1, 2016', 'Jul 1, 2015', 'Jul 1, 2014', 'Jul 1, 2011'], 'leaving_club': ['Stade Rennais', 'Stade Reims', 'Marseille B', 'Without Club', 'AS Cherbourg', 'Caucriauville'], 'joining_club': ['Chelsea', 'Stade Rennais', 'Stade Reims', 'Marseille B', 'Without Club', 'AS Cherbourg'], 'market_value': ['€7.00m', '€9.00m', '-', '-', '-', '-'], 'fee': ['€24.00m', '€7.60m', 'free transfer', '-', '-', 'free transfer']}","{'club': ['Stade Reims', 'Stade Reims', 'Stade Reims', 'Stade Reims', 'Stade Reims', 'Stade Reims', 'Stade Reims', 'Stade Reims', 'Stade Rennais FC', 'Stade Rennais FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC', 'Chelsea FC'], 'market_value': ['Є50Th.', 'Є200Th.', 'Є200Th.', 'Є1.00m', 'Є4.00m', 'Є6.00m', 'Є8.00m', 'Є9.00m', 'Є9.00m', 'Є7.00m', 'Є20.00m', 'Є25.00m', 'Є25.00m', 'Є25.00m', 'Є30.00m', 'Є32.00m', 'Є32.00m'], 'age': ['24', '25', '25', '26', '26', '26', '27', '27', '27', '28', '28', '28', '29', '29', '29', '29', '30'], 'date': ['Jul 13', 'Mar 20', 'Jun 15', 'May 16', 'Oct 24', 'Dec 17', 'Mar 7', 'Jun 3', 'Dec 19', 'Apr 8', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Oct 5', 'Dec 23', 'Jun 15'], 'year': ['2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022']}"
#7,,Cristiano Ronaldo,117,191,Centre-Forward,,€20.00m,€120.00m,"Oct 22, 2014","Feb 5, 1985",Funchal,Portugal,187,Portugal,right,Manchester United,"Aug 31, 2021","Jun 30, 2023",unknown,"{'season': ['21/22', '18/19', '09/10', '03/04', '02/03', '00/01', '98/99', '97/98', '96/97', '95/96'], 'transfer_date': ['Aug 31, 2021', 'Jul 10, 2018', 'Jul 6, 2009', 'Aug 12, 2003', 'Jul 1, 2002', 'Jul 1, 2000', 'Jul 1, 1998', 'Jul 1, 1997', 'Jul 1, 1996', 'Jul 1, 1995'], 'leaving_club': ['Juventus', 'Real Madrid', 'Man Utd', 'Sporting CP', 'Sporting U19', 'Sporting U17', 'Sporting Sub-15', 'Nacional U15', 'Nacional Yth.', 'Andorinha Yth.'], 'joining_club': ['Man Utd', 'Juventus', 'Real Madrid', 'Man Utd', 'Sporting CP', 'Sporting U19', 'Sporting U17', 'Sporting Sub-15', 'Nacional U15', 'Nacional Yth.'], 'market_value': ['€45.00m', '€100.00m', '€60.00m', '-', '-', '-', '-', '-', '-', '-'], 'fee': ['€17.00m', '€117.00m', '€94.00m', '€19.00m', '-', '-', '-', '?', '-', 'free transfer']}","{'club': ['Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Juventus FC', 'Juventus FC', 'Juventus FC', 'Juventus FC', 'Juventus FC', 'Juventus FC', 'Juventus FC', 'Juventus FC', 'Manchester United', 'Manchester United', 'Manchester United'], 'market_value': ['Є18.00m', 'Є22.80m', 'Є26.50m', 'Є25.00m', 'Є34.00m', 'Є50.00m', 'Є55.00m', 'Є60.00m', 'Є70.00m', 'Є70.00m', 'Є75.00m', 'Є75.00m', 'Є90.00m', 'Є90.00m', 'Є90.00m', 'Є90.00m', 'Є100.00m', 'Є100.00m', 'Є100.00m', 'Є100.00m', 'Є100.00m', 'Є120.00m', 'Є120.00m', 'Є120.00m', 'Є110.00m', 'Є110.00m', 'Є110.00m', 'Є110.00m', 'Є100.00m', 'Є100.00m', 'Є120.00m', 'Є100.00m', 'Є100.00m', 'Є90.00m', 'Є75.00m', 'Є60.00m', 'Є60.00m', 'Є60.00m', 'Є50.00m', 'Є45.00m', 'Є35.00m', 'Є30.00m', 'Є20.00m'], 'age': ['19', '20', '20', '21', '22', '22', '23', '23', '24', '24', '24', '25', '25', '25', '26', '26', '27', '27', '28', '28', '29', '29', '29', '30', '30', '31', '31', '31', '31', '32', '32', '33', '33', '34', '34', '35', '35', '35', '36', '36', '36', '37', '37'], 'date': ['Oct 4', 'Feb 11', 'Oct 18', 'Jun 14', 'Apr 25', 'Feb 4', 'Apr 8', 'Jul 4', 'Jul 22', 'Dec 3', 'Jan 7', 'Apr 12', 'Aug 27', 'Feb 4', 'Jul 29', 'Feb 3', 'Aug 7', 'Jan 10', 'Jun 12', 'Jan 23', 'Jul 20', 'Oct 22', 'Jan 23', 'Jul 1', 'Nov 22', 'Feb 22', 'Jun 1', 'Jul 15', 'Jan 24', 'Jun 5', 'Jan 1', 'May 30', 'Dec 20', 'Jun 6', 'Dec 12', 'Apr 8', 'Aug 25', 'Dec 29', 'Mar 23', 'Jun 1', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2004', '2005', '2005', '2006', '2007', '2008', '2008', '2008', '2009', '2009', '2010', '2010', '2010', '2011', '2011', '2012', '2012', '2013', '2013', '2014', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
